Produccion,Precio,Mes,Año,,
3628.932,2600.983046,Enero,2020,,
3228.231,2481.417266,Febrero,2020,,
3759.754,2336.218231,Marzo,2020,,
3289.548,2088.003887,Abril,2020,,
2582.698,1940.357844,Mayo,2020,,
2861.469,2092.303724,Junio,2020,,
3183.664,2322.737662,Julio,2020,,
2856.102,2429.020425,Agosto,2020,,
2310.894,2629.544969,Septiembre,2020,,
2082.408,2714.86725,Octubre,2020,,
1918.999,2934.140464,Noviembre,2020,,
2300.59,3045.006708,Diciembre,2020,,
2827.612,3316.037,Enero,2021,,
3300.102,3383.504,Febrero,2021,,
4405.299,3645.733,Marzo,2021,,
4305.252,3661.72,Abril,2021,,
4013.521,4054.709,Mayo,2021,,
3401.183,3537.545,Junio,2021,,
3163.912,4001.667,Julio,2021,,
2483.716,4271.452,Agosto,2021,,
2471.679,4282.705,Septiembre,2021,,
2532.239,4727.3,Octubre,2021,,
2347.287,4891.935,Noviembre,2021,,
2458.581,4692.069,Diciembre,2021,,
