Produccion,Precio,Mes,Año
2083.684,2600.983046,Enero,2020
2621.559,2481.417266,Febrero,2020
3425.241,2336.218231,Marzo,2020
3215.253,2088.003887,Abril,2020
3612.94,1940.357844,Mayo,2020
2836.732,2092.303724,Junio,2020
2375.775,2322.737662,Julio,2020
1747.152,2429.020425,Agosto,2020
1585.516,2629.544969,Septiembre,2020
1936.588,2714.86725,Octubre,2020
1734.376,2934.140464,Noviembre,2020
1238.751,3045.006708,Diciembre,2020
1733.567,3316.037,Enero,2021
2462.329,3383.504,Febrero,2021
3257.775,3645.733,Marzo,2021
3546.633,3661.72,Abril,2021
3175.047,4054.709,Mayo,2021
3033.299,3537.545,Junio,2021
2911.048,4001.667,Julio,2021
2454.738,4271.452,Agosto,2021
2280.33,4282.705,Septiembre,2021
3127.237,4727.3,Octubre,2021
2966.952,4891.935,Noviembre,2021
2410.483,4692.069,Diciembre,2021
